threshold,pairs_returned,pairs_scored,good,precision,recall
0.05,334280,778,685,0.8804627249357326,0.25009127418765975
0.08,311464,764,677,0.8861256544502618,0.24717050018254838
0.1,257014,712,632,0.8876404494382022,0.230741146403797
0.12,233644,690,623,0.9028985507246376,0.22745527564804674
0.15,158306,594,555,0.9343434343434344,0.20262869660460023
0.2,54392,303,284,0.9372937293729373,0.10368747718145309
0.25,16758,189,176,0.9312169312169312,0.0642570281124498
0.3,4064,159,152,0.9559748427672956,0.05549470609711574
0.35,1732,122,122,1.0,0.04454180357794816
